stn,depth_name,substrate,time_d,mean.cells,sd.cells,mean.selfish,sd.selfish,mean.percent,sd.percent
stn18,bottom,ara,0.2,48000,6898.550572,474.3333333,268.3846742,0.967898678,0.447988924
stn18,bottom,ara,1,15433.33333,1305.11813,306.3333333,120.421482,1.951666974,0.600441939
stn18,bottom,ara,3,37933.33333,1871.719352,1061.666667,1074.077434,2.748105341,2.696315668
stn18,bottom,ara,7,39100,10577.33426,395.3333333,403.279473,1.129159063,1.25138532
stn18,bottom,ara,10,53800,12609.91673,1075.333333,127.6923386,2.0847373,0.582811809
stn18,bottom,chn,0.2,41400,754.9834435,0,0,0,0
stn18,bottom,chn,1,14266.66667,2003.33056,86.83333333,92.43421084,0.558185654,0.583771892
stn18,bottom,chn,3,35433.33333,6368.935023,346.3,258.0175769,1.013307524,0.744936086
stn18,bottom,chn,7,28833.33333,5485.739087,210.2,139.8717984,0.794705997,0.612391688
stn18,bottom,chn,10,49100,12952.60592,191.7,276.7702477,0.358183423,0.527568541
stn18,bottom,control,0.2,33475.63855,NA,NA,NA,NA,NA
stn18,bottom,control,1,17901.03112,NA,NA,NA,NA,NA
stn18,bottom,control,3,34143.33363,NA,NA,NA,NA,NA
stn18,bottom,control,7,33930.05898,NA,NA,NA,NA,NA
stn18,bottom,control,10,53480.23582,NA,NA,NA,NA,NA
stn18,bottom,fuc,0.2,35533.33333,15284.74185,215.3333333,282.3478942,0.490307653,0.647473216
stn18,bottom,fuc,1,15400,2271.563338,438.6666667,266.9500578,2.867309302,1.602748234
stn18,bottom,fuc,3,38100,3148.015248,307.0333333,222.5113555,0.777180825,0.548211017
stn18,bottom,fuc,5,NA,NA,NA,NA,NA,NA
stn18,bottom,fuc,7,34600,4132.795664,345.3333333,325.3080591,1,0.888819442
stn18,bottom,fuc,10,47966.66667,9473.295801,2450,511.1751168,5.292753524,1.739657629
stn18,bottom,lam,0.2,37266.66667,4437.717131,1120,1145.818485,2.791959407,2.728569436
stn18,bottom,lam,1,13166.66667,635.0852961,888.3333333,415.1919235,6.83582509,3.389478631
stn18,bottom,lam,3,34533.33333,1115.048579,3003.333333,217.3323108,8.714121968,0.865135088
stn18,bottom,lam,7,27266.66667,896.288644,771.6666667,604.0350431,2.785548673,2.088068149
stn18,bottom,lam,10,41000,10017.98383,1883.333333,655.0063613,4.880473095,2.571553413
stn18,bottom,pul,0.2,25466.66667,22196.02066,2103.333333,2258.369618,NA,NA
stn18,bottom,pul,1,14166.66667,2579.405616,1553.333333,657.3684913,10.97050961,3.793798838
stn18,bottom,pul,3,36466.66667,1270.170592,2920,858.6035173,7.96999488,2.147696748
stn18,bottom,pul,7,36466.66667,1882.374387,6043.333333,1426.055165,16.54210335,3.54789916
stn18,bottom,pul,10,39333.33333,3156.474827,2360,1197.873115,6.051037802,3.115865624
stn18,bottom,pul,15,NA,NA,NA,NA,NA,NA
stn18,bottom,pul,30,NA,NA,NA,NA,NA,NA
stn18,bottom,xyl,0.2,38833.33333,4206.344414,NA,NA,NA,NA
stn18,bottom,xyl,1,13066.66667,1817.507451,NA,NA,NA,NA
stn18,bottom,xyl,3,33966.66667,2939.954648,NA,NA,NA,NA
stn18,bottom,xyl,7,23766.66667,2837.839554,NA,NA,NA,NA
stn18,bottom,xyl,10,48166.66667,16704.59019,NA,NA,NA,NA
stn18,DCM,ara,0.2,507333.3333,52519.83752,2240,1047.043457,0.446044905,0.209672212
stn18,DCM,ara,1,565000,31511.90251,6073.333333,2315.951928,1.062070578,0.349060691
stn18,DCM,ara,3,589000,136396.4809,3810,618.7891402,0.677234958,0.236149997
stn18,DCM,ara,7,465666.6667,79751.698,4540,2714.184961,1.023878172,0.664571764
stn18,DCM,ara,10,494000,92325.5111,2697.666667,2900.863033,0.48862906,0.490982704
stn18,DCM,ara,15,NA,NA,NA,NA,NA,NA
stn18,DCM,ara,30,NA,NA,NA,NA,NA,NA
stn18,DCM,chn,0.2,507333.3333,172407.4631,2010.666667,1756.986435,0.348924962,0.233817059
stn18,DCM,chn,1,547000,71140.70565,1566,1957.583204,0.263144568,0.319379416
stn18,DCM,chn,3,781333.3333,51810.55234,1244.666667,937.3928383,0.158174277,0.11286712
stn18,DCM,chn,7,362666.6667,30270.99822,1786.666667,455.2288802,0.48801122,0.084991168
stn18,DCM,chn,10,405000,59101.60742,11413.33333,4172.593119,2.834768889,0.992028576
stn18,DCM,chn,15,NA,NA,NA,NA,NA,NA
stn18,DCM,chn,30,NA,NA,NA,NA,NA,NA
stn18,DCM,control,0.2,492451.9274,NA,NA,NA,NA,NA
stn18,DCM,control,1,485321.0222,NA,NA,NA,NA,NA
stn18,DCM,control,3,652013.1291,NA,NA,NA,NA,NA
stn18,DCM,control,7,302853.7407,NA,NA,NA,NA,NA
stn18,DCM,control,10,429951.6402,NA,NA,NA,NA,NA
stn18,DCM,fuc,0.2,507333.3333,172407.4631,1407.3,1782.724255,0.257958969,0.260421097
stn18,DCM,fuc,1,499333.3333,70266.16066,12296.66667,5473.48457,2.547972067,1.408830733
stn18,DCM,fuc,3,696666.6667,74715.01411,6086.333333,2598.784395,0.893882589,0.425404388
stn18,DCM,fuc,7,448000,137633.5715,11619.66667,2576.031897,2.660103869,0.49841505
stn18,DCM,fuc,10,675666.6667,112881.9442,2040.666667,1829.889159,0.28471999,0.229804765
stn18,DCM,fuc,15,NA,NA,NA,NA,NA,NA
stn18,DCM,fuc,30,NA,NA,NA,NA,NA,NA
stn18,DCM,lam,0.2,532333.3333,76513.61535,7396.666667,1910.427526,1.420703837,0.49517666
stn18,DCM,lam,1,347333.3333,145342.1251,6396.666667,2172.218528,1.8784421,0.216892414
stn18,DCM,lam,3,650000,69086.9018,20500,10948.97255,3.069870317,1.317502866
stn18,DCM,lam,7,316333.3333,73036.52055,38566.66667,17000.09804,11.85510169,3.260741113
stn18,DCM,lam,10,516666.6667,142605.5165,56900,39883.95667,10.18978258,5.135260533
stn18,DCM,lam,15,NA,NA,NA,NA,NA,NA
stn18,DCM,lam,30,NA,NA,NA,NA,NA,NA
stn18,DCM,pul,0.2,388000,339866.1501,6330,5495.443567,1.649909408,0.298018487
stn18,DCM,pul,1,280666.6667,247014.8444,13566.66667,12273.68459,4.798009184,0.483343918
stn18,DCM,pul,3,404333.3333,355696.9684,24066.66667,28405.86794,5.684625868,3.671850763
stn18,DCM,pul,7,242000,302402.0503,28600,38826.27976,10.74781886,2.520555124
stn18,DCM,pul,10,254666.6667,250603.9372,23666.66667,23167.29016,9.316575974,0.106149466
stn18,DCM,pul,15,NA,NA,NA,NA,NA,NA
stn18,DCM,pul,30,NA,NA,NA,NA,NA,NA
stn18,DCM,xyl,0.2,518000,49365.98019,NA,NA,NA,NA
stn18,DCM,xyl,1,361333.3333,120101.3461,NA,NA,NA,NA
stn18,DCM,xyl,3,625000,58025.85631,NA,NA,NA,NA
stn18,DCM,xyl,5,NA,NA,NA,NA,NA,NA
stn18,DCM,xyl,7,412333.3333,65248.24391,NA,NA,NA,NA
stn18,DCM,xyl,10,421000,158644.2561,NA,NA,NA,NA
stn18,DCM,xyl,15,NA,NA,NA,NA,NA,NA
stn18,DCM,xyl,30,NA,NA,NA,NA,NA,NA
stn19,bottom,ara,0.2,26000,1808.314132,159.4333333,91.54923994,0.630249435,0.40043303
stn19,bottom,ara,2,25066.66667,2830.783166,320.6666667,146.8888469,1.322059771,0.708661843
stn19,bottom,ara,3,17600,655.7438524,858.6666667,278.5324637,4.894521891,1.614091253
stn19,bottom,ara,7,22966.66667,4944.019957,527.6666667,159.6381325,2.314463796,0.517066965
stn19,bottom,ara,10,32666.66667,9650.043178,2970.333333,2678.180415,8.26435424,5.821947775
stn19,bottom,chn,0.2,27333.33333,1327.905619,68.4,100.6721411,0.262874378,0.391794836
stn19,bottom,chn,2,26900,1587.450787,98.46666667,64.85717642,0.359001307,0.21710194
stn19,bottom,chn,3,16266.66667,305.5050463,425.6666667,229.3476255,2.634241906,1.457646179
stn19,bottom,chn,7,28566.66667,3208.322511,640.6666667,622.9737822,2.263879776,2.204767501
stn19,bottom,chn,10,41000,16889.34575,579,142.8180661,1.639129742,0.828026858
stn19,bottom,control,0.2,29537.32813,NA,NA,NA,NA,NA
