stn,depth_name,depth_no,depth_m,substrate,timepoint,time_d,time_h,replicate,cells_ml,substratecells_ml
stn18,DCM,d2,104,pul,t0,0,0,1,2105048.555,72643.85797
stn18,DCM,d2,104,pul,t0,0,0,2,2167039.333,53637.41096
stn18,DCM,d2,104,lam,t0,0,0,1,1995410.609,9397.53819
stn18,DCM,d2,104,lam,t0,0,0,2,1802888.475,14388.57522
stn18,DCM,d2,104,lam,t0,0,0,3,213635.1352,2112.410697
stn18,DCM,d2,104,xyl,t0,0,0,1,1966457.06,
stn18,DCM,d2,104,xyl,t0,0,0,2,1954755.582,
stn18,DCM,d2,104,xyl,t0,0,0,3,2159242.202,
stn18,DCM,d2,104,fuc,t0,0,0,1,2127775.125,4261.231892
stn18,DCM,d2,104,fuc,t0,0,0,2,1836447.711,1706.880002
stn18,DCM,d2,104,fuc,t0,0,0,3,1699669.118,1971.583317
stn18,DCM,d2,104,ara,t0,0,0,1,2007685.862,1318.952728
stn18,DCM,d2,104,ara,t0,0,0,2,1934244.176,2418.080002
stn18,DCM,d2,104,ara,t0,0,0,3,2371075.387,2218.031232
stn18,DCM,d2,104,chn,t0,0,0,1,2108917.483,3517.207276
stn18,DCM,d2,104,chn,t0,0,0,2,1938740.606,1558.762315
stn18,DCM,d2,104,chn,t0,0,0,3,2239155.339,2534.892836
stn18,DCM,d2,104,pul,t1,3,72,1,3032492.148,179817.222
stn18,DCM,d2,104,pul,t1,3,72,2,3517317.189,68420.67279
stn18,DCM,d2,104,pul,t1,3,72,3,787141.2163,55919.78353
stn18,DCM,d2,104,lam,t1,3,72,1,3893674.069,418798.8949
stn18,DCM,d2,104,lam,t1,3,72,2,4075375.509,75933.99279
stn18,DCM,d2,104,lam,t1,3,72,3,3750765.139,153457.5094
stn18,DCM,d2,104,xyl,t1,3,72,1,3372855.227,
stn18,DCM,d2,104,xyl,t1,3,72,2,3541223.207,
stn18,DCM,d2,104,xyl,t1,3,72,3,1951187.301,
stn18,DCM,d2,104,fuc,t1,3,72,1,3331509.723,494.6072732
