,X,rate.x.nM.hr,rate.1.nM.hr,rate.2.nM.hr,rate.3.nM.hr,mean.rate.nM.hr,sd.rate.nM.hr,kcrate.x.nM.hr,kcrate.1.nM.hr,kcrate.2.nM.hr,kcrate.3.nM.hr,mean.kcrate.nM.hr,sd.kcrate.nM.hr
1,stn17-d1-bulk-ara-t0,0,0,0,0,0,0,0,0,0,0,0,0
2,stn17-d1-bulk-ara-t1,0.035041231,1.175886572,2.551005841,2.492324772,2.073072395,0.777539496,0,0,0,0,0,0
3,stn17-d1-bulk-ara-t2,0.010296893,0.590303946,0.978026989,1.448997303,1.005776079,0.430018697,0,0,0,0,0,0
4,stn17-d1-bulk-ara-t3,0.005194204,0.435934232,0.659237602,0.700594809,0.598588881,0.142372771,0,0,0,0,0,0
5,stn17-d1-bulk-ara-t4,0.004378127,0.621990902,0.984140191,0.833972782,0.813367958,0.181951768,0,0,0,0,0,0
6,stn17-d1-bulk-ara-t5,0.001281081,0.288811446,0.415320388,0.403125557,0.369085797,0.06978651,0,0,0,0,0,0
7,stn17-d1-bulk-chn-t0,0,0,0,0,0,0,0,0,0,0,0,0
8,stn17-d1-bulk-chn-t1,4.001142182,8.546096645,3.786139335,11.02007433,7.784103436,3.676673648,0,0,0,0,0,0
9,stn17-d1-bulk-chn-t2,1.100517858,2.988534173,3.343987064,5.038173524,3.790231587,1.095265264,0,0,0,0,0,0
10,stn17-d1-bulk-chn-t3,0.656138318,1.99172207,0.013070708,1.248944076,1.084578951,0.999513493,0,0,0,0,0,0
11,stn17-d1-bulk-chn-t4,0.552952783,1.203175116,1.492312982,1.367176186,1.354221428,0.145003606,0,0,0,0,0,0
12,stn17-d1-bulk-chn-t5,0.568626559,1.314850333,0.986939998,1.00863831,1.103476214,0.183376574,0,0,0,0,0,0
13,stn17-d1-bulk-fuc-t0,0,0,0,0,0,0,0,0,0,0,0,0
14,stn17-d1-bulk-fuc-t1,4.132878084,3.328521585,3.290101575,0.502570057,2.373731072,1.620586833,0,0,0,0,0,0
15,stn17-d1-bulk-fuc-t2,1.477350237,2.37559,2.163623519,2.511535941,2.35024982,0.175334985,0,0,0,0,0,0
16,stn17-d1-bulk-fuc-t3,1.192600302,1.654984886,1.709156137,0.851837809,1.405326277,0.480099724,0,0,0,0,0,0
17,stn17-d1-bulk-fuc-t4,0.870747023,1.282024693,1.155584295,0.864570948,1.100726645,0.214065244,0,0,0,0,0,0
18,stn17-d1-bulk-fuc-t5,0.801432827,0.800527504,0.601971908,0.74082138,0.714440264,0.101872732,0,0,0,0,0,0
19,stn17-d1-bulk-lam-t0,0,0,0,0,0,0,0,0,0,0,0,0
20,stn17-d1-bulk-lam-t1,0.644310784,6.462118529,7.815588178,8.919943543,7.732550083,1.231014802,0,5.817807745,7.171277393,8.275632758,7.088239299,1.231014802
21,stn17-d1-bulk-lam-t2,1.009069712,6.367693466,7.597513283,6.786473156,6.917226635,0.62524919,0,5.358623754,6.588443571,5.777403443,5.908156923,0.62524919
