,X,rate.x.nM.hr,rate.1.nM.hr,rate.2.nM.hr,rate.3.nM.hr,mean.rate.nM.hr,sd.rate.nM.hr,kcrate.x.nM.hr,kcrate.1.nM.hr,kcrate.2.nM.hr,kcrate.3.nM.hr,mean.kcrate.nM.hr,sd.kcrate.nM.hr
1,stn18-dA-LV-A1-ara-t0,0,0,0,0,0,0,0,0,0,0,0,0
2,stn18-dA-LV-A1-ara-t1,1.23858476,0.875016862,1.015984111,0.512387241,0.801129405,0.259801788,0,0,0,0,0,0
3,stn18-dA-LV-A1-ara-t2,0.591846184,0.879380989,0.957043399,0.787099083,0.874507824,0.085076897,0,0,0,0,0,0
4,stn18-dA-LV-A1-ara-t3,1.372547509,0.724784001,0.626001652,0.607250585,0.652678746,0.063144885,0,0,0,0,0,0
5,stn18-dA-LV-A1-ara-t4,0.873444716,2.097098951,1.592338519,1.484981875,1.724806448,0.326852632,0,1.223654235,0.718893804,0.611537159,0.851361733,0.326852632
6,stn18-dA-LV-A1-ara-t5,0.52461111,2.684900225,1.949574319,1.425964447,2.02014633,0.632427964,0,2.160289115,1.424963209,0.901353337,1.49553522,0.632427964
7,stn18-dA-LV-A1-chn-t0,0,0,0,0,0,0,0,0,0,0,0,0
8,stn18-dA-LV-A1-chn-t1,0.507689608,4.884486642,4.741273485,5.130460447,4.918740191,0.196841566,0,4.376797033,4.233583876,4.622770838,4.411050583,0.196841566
9,stn18-dA-LV-A1-chn-t2,2.007401383,7.768350522,7.723801776,9.831159557,8.441103952,1.204029521,0,5.760949139,5.716400393,7.823758174,6.433702568,1.204029521
10,stn18-dA-LV-A1-chn-t3,1.456622358,5.3085569,4.749298598,5.795419384,5.284424961,0.523477734,0,3.851934543,3.29267624,4.338797026,3.827802603,0.523477734
11,stn18-dA-LV-A1-chn-t4,1.489356882,4.819729442,4.861427625,5.263843008,4.981666692,0.245259637,0,3.330372561,3.372070743,3.774486126,3.49230981,0.245259637
12,stn18-dA-LV-A1-chn-t5,1.228222866,2.699876245,2.731712109,2.931774073,2.787787476,0.125707938,0,1.471653379,1.503489243,1.703551207,1.559564609,0.125707938
13,stn18-dA-LV-A1-fuc-t0,0,0,0,0,0,0,0,0,0,0,0,0
14,stn18-dA-LV-A1-fuc-t1,3.139893726,2.092863669,1.409616333,2.954709152,2.152396384,0.774264853,0,0,0,0,0,0
15,stn18-dA-LV-A1-fuc-t2,1.409996727,1.243890108,1.834282026,2.001096242,1.693089459,0.397859006,0,0,0,0,0,0
16,stn18-dA-LV-A1-fuc-t3,1.777615431,3.236547552,3.906779989,2.775797723,3.306375088,0.568715338,0,1.45893212,2.129164558,0.998182291,1.528759656,0.568715338
