"sn"	"h"	"s"	"i"	"j"
"St19_LV_dA_M1_l1_t0"	223	3.21321854093291	0.927874471612503	13.8647164513993	0.594251242006546
"St19_LV_dA_M1_l1_t2"	193	3.43081436808388	0.93944920861835	16.5150607809075	0.651912661573148
"St19_LV_dA_M1_l1_t3"	207	2.97550486779768	0.835769534072018	6.08900421946388	0.55797145567762
"St19_LV_dA_M1_y1_t0"	174	3.00042405031826	0.887385585090371	8.87985788322467	0.581584006431387
"St19_LV_dA_M1_y1_t2"	208	3.36765307722841	0.933670466469856	15.0762405037197	0.630937527178609
"St19_LV_dA_M1_y1_t3"	61	2.77229185813829	0.83266014742229	5.97586280013969	0.674380180403757
"St19_LV_dA_M1_f1_t0"	226	3.20704312791233	0.912300389597084	11.402559206429	0.591646973655346
"St19_LV_dA_M1_f1_t2"	159	2.987439412126	0.882923438946602	8.54141931572372	0.589365924654381
"St19_LV_dA_M1_f1_t3"	252	2.5547911115104	0.74901020984395	3.98422581005491	0.462035242893441
"St19_LV_dA_M1_p1_t0"	168	3.23385089203524	0.915234993633168	11.7973211217889	0.631122877724027
"St19_LV_dA_M1_p1_t1"	147	1.99279129152197	0.70658834855019	3.40818094666243	0.399322354699575
"St19_LV_dA_M1_p1_t2"	211	3.03847555029332	0.905284022956589	10.5578808477229	0.567742170011486
"St19_LV_dA_M1_p1_t3"	121	2.83226471215238	0.863244510298242	7.31232071327331	0.590573063027705
"St19_LV_dA_M1_a1_t0"	177	3.10987124346946	0.905671643713593	10.6012660388539	0.600807821284391
"St19_LV_dA_M1_a1_t2"	172	3.3647025594875	0.93909130044807	16.4180159378943	0.653658313698749
"St19_LV_dA_M1_a1_t3"	164	2.49646134590021	0.795337079985218	4.88608293054636	0.489515045390178
"St19_LV_dA_M1_c1_t0"	149	3.00445523574285	0.894098448314845	9.44273227433905	0.60041716118598
"St18_LV_dA_M1_f1_t0"	137	2.25267552869198	0.790101785222002	4.76421393606261	0.457862654886779
"St18_LV_dA_M1_f1_t1"	175	2.72270009813222	0.83808546320203	6.17609771040978	0.527166103664094
"St18_LV_dA_M1_f1_t2"	229	3.08658945571975	0.877915660565768	8.19105877653301	0.568043314269811
"St18_LV_dA_M1_f1_t3"	232	3.48789337076451	0.917195126864635	12.0765839271953	0.640363787119309
"St18_LV_dA_M1_p1_t0"	146	1.81799015951806	0.665263323046587	2.98742285757702	0.364794073352216
"St18_LV_dA_M1_p1_t1"	223	2.94912682657102	0.870967276997362	7.7499720747547	0.545410235002514
"St18_LV_dA_M1_p1_t2"	191	3.28143754947328	0.900035729094228	10.0035741864472	0.624765179198539
"St18_LV_dA_M1_p1_t3"	99	3.94666986638444	0.969452832159777	32.736259061086	0.858882900795035
"St18_LV_dA_M1_c1_t0"	113	2.06412140937326	0.745531955939168	3.92976652015663	0.436630437046626
"St18_LV_dA_M1_c1_t1"	188	3.05678433179916	0.875245176919925	8.01572216056239	0.583752164828191
"St18_LV_dA_M1_c1_t2"	200	3.34083926296786	0.908406895540049	10.9178524507514	0.630547215623756
"St18_LV_dA_M1_c1_t3"	250	3.11717814920572	0.870760724966841	7.73758596017678	0.56455677140111
"St18_LV_dA_M1_a1_t0"	170	2.06219081460124	0.756595498631505	4.10838745535803	0.401532661352974
"St18_LV_dA_M1_a1_t1"	206	2.89653367837881	0.857434326995674	7.01431122181602	0.543656343844205
"St18_LV_dA_M1_a1_t2"	163	3.22811981991268	0.909182759849803	11.0111251822469	0.633741289355218
"St18_LV_dA_M1_a1_t3"	306	2.83021454849557	0.797618554149255	4.94116442244163	0.494482828171832
"St18_LV_dA_M1_t1_t0"	137	2.09009593935408	0.770629312122003	4.35975498548403	0.424817894797484
"St18_LV_dA_M1_l1_t1"	180	2.60045804967022	0.809446351841962	5.24786594046543	0.500766350335539
"St18_LV_dA_M1_l1_t2"	203	2.92731800349403	0.866552867703906	7.49360426705305	0.55095134934369
"St18_LV_dA_M1_l1_t3"	202	3.42172497908383	0.928779808373292	14.0409619401388	0.644602942831806
"St18_LV_dA_M1_y1_t0"	149	2.2574110243246	0.787639362053002	4.70897059675243	0.45112614850452
"St18_LV_dA_M1_y1_t1"	213	2.87762014914397	0.865011446375408	7.40803551967108	0.536740035834848
"St18_LV_dA_M1_y1_t2"	200	3.0453592875831	0.886203850395184	8.78764354921269	0.574778571553787
"St18_LV_dA_M1_y1_t3"	230	3.16400874167182	0.872603442172527	7.84950564641044	0.58182467778285
"St18_LV_dA_M1_t0"	116	3.30217333605272	0.936683139205541	15.7935814797614	0.694669334817893
"St18_lV_dA_M1_t1"	78	2.1981038056169	0.781039997446604	4.56704415572947	0.504533098964778
"St18_LV_dA_M1_t2"	222	2.95067045393143	0.864890281261557	7.40139206370405	0.546149667169074
"St18_LV_dA_M1_t3"	292	3.76710177909259	0.952885317284842	21.2248059919182	0.663601401488885
"St19_LV_dA_M1_t0"	213	2.96892977800348	0.862361019588786	7.26538366538587	0.553771308527563
"St19_LV_dA_M1_t1"	193	3.34452487397958	0.923368726565725	13.0495025749204	0.635516200636454
"St19_LV_dA_M1_t2"	138	2.78323992281629	0.869046770948215	7.63631418057322	0.564866373980395
"St19_LV_dA_M1_t3"	170	2.94773429124995	0.894000486084086	9.43400552565998	0.573958329436109
"St19_LV_dA_M1_t4"	142	2.1291015303504	0.708298565958275	3.42816278324144	0.429615784732597
"St20_LV_dA_M1_t0"	83	3.35217594357704	0.936544235709325	15.759009621557	0.758609834820126
"St20_LV_dA_M1_t1"	59	1.91378290654417	0.701452111198353	3.34954637935622	0.469347720988928
"St20_LV_dA_M1_t2"	94	3.24501602733425	0.920082872747696	12.5129622945896	0.714242897026574
"St20_LV_dA_M1_t3"	363	3.29154148331025	0.892197617811629	9.27623285960994	0.558418142746562
"St20_LV_dA_M1_t4"	185	3.26112349538371	0.893814467320014	9.41747877287316	0.624693719098119
"St20_LV_dA_M1_y_t0"	222	2.55134430833051	0.826579558730279	5.76633292291478	0.472237027680219
"St20_LV_dA_M1_y_t3"	161	2.41405411051536	0.843273037840135	6.3805230843432	0.475076167358458
"St20_LV_dA_M1_p_t0"	235	3.16495327709519	0.912461888244876	11.4235957339058	0.579705779659599
"St20_LV_dA_M1_p_t2"	121	3.61858102636114	0.954539481096399	21.9971092305499	0.754532749492894
"St20_LV_dA_M1_p_t3"	127	2.81450630329839	0.862665386009238	7.28148549692846	0.581006937400507
"St20_LV_dA_M1_a_t0"	208	3.22146752037359	0.919546347681551	12.42951651271	0.603549327849265
"St20_LV_dA_M1_a_t2"	179	2.84031557516172	0.874491997342511	7.96761942526486	0.547542766524837
"St20_LV_dA_M1_a_t3"	79	3.56486044908078	0.937224998933832	15.9299081324739	0.815860623457959
"St20_LV_dA_M1_f_t0"	246	3.00157340822669	0.869774631630666	7.67899536412819	0.545212107324678
"St20_LV_dA_M1_f_t3"	84	3.34066548449937	0.928734806458816	14.0320954776064	0.753961546180709
"St20_LV_dA_M1_l_t3"	127	2.79390194626108	0.863712044461741	7.33740553998754	0.576753518473953
"St20_LV_dA_M1_c_t0"	182	3.20698008228248	0.919368245210388	12.4020617262919	0.616252106333075
"St20_LV_dA_M1_c_t1"	189	3.05705267463938	0.901109515423096	10.1121963784324	0.583212556015468
"St20_LV_dA_M1_c_t2"	83	2.55690257717862	0.832886222599589	5.9839470781871	0.578636525759093
"St20_LV_dA_M1_c_t3"	117	3.15668104610129	0.917452215044164	12.1141954388602	0.662865550339321
"St19_LV_dA_M1_y1_t1"	43	3.36824261445949	0.94787444622181	19.1844484617909	0.895523373086568
"St19_LV_dA_M1_a1_t1"	120	2.49108289849662	0.831626838655645	5.93918883517791	0.520331528979105
"St19_LV_dA_M1_f1_t1"	116	2.75486465862463	0.867931375768826	7.57182113330408	0.579533478459878
