Sample,Station,Amendment,Depth,Depth_full,Mesocosm,Substrate,Replicate,IncubationTime
St18_dB_T0_I,18,unamended,B,DCM,0,Control,1,0
St18_dB_T0_II,18,unamended,B,DCM,0,Control,2,0
St18_dB_T0_III,18,unamended,B,DCM,0,Control,3,0
St18_dB_l1_1d,18,unamended,B,DCM,0,Laminarin,1,1
St18_dB_l2_1d,18,unamended,B,DCM,0,Laminarin,2,1
St18_dB_l3_1d,18,unamended,B,DCM,0,Laminarin,3,1
St18_dB_l1_3d,18,unamended,B,DCM,0,Laminarin,1,3
St18_dB_l2_3d,18,unamended,B,DCM,0,Laminarin,2,3
St18_dC_l3_3d,18,unamended,B,DCM,0,Laminarin,3,3
St18_dB_l1_10d,18,unamended,B,DCM,0,Laminarin,1,10
St18_dB_l2_10d,18,unamended,B,DCM,0,Laminarin,2,10
St18_dB_l3_10d,18,unamended,B,DCM,0,Laminarin,3,10
St18_dB_y2_1d,18,unamended,B,DCM,0,Xylan,2,1
St18_dB_y3_1d,18,unamended,B,DCM,0,Xylan,3,1
St18_dB_y1_3d,18,unamended,B,DCM,0,Xylan,1,3
St18_dB_y2_3d,18,unamended,B,DCM,0,Xylan,2,3
St18_dB_y3_3d,18,unamended,B,DCM,0,Xylan,3,3
St18_dB_y1_10d,18,unamended,B,DCM,0,Xylan,1,10
St18_dB_y2_10d,18,unamended,B,DCM,0,Xylan,2,10
St18_dB_y3_10d,18,unamended,B,DCM,0,Xylan,3,10
St18_dB_c1_1d,18,unamended,B,DCM,0,Chondroitin,1,1
St18_dB_c3_1d,18,unamended,B,DCM,0,Chondroitin,3,1
St18_dB_c1_3d,18,unamended,B,DCM,0,Chondroitin,1,3
St18_dB_c2_3d,18,unamended,B,DCM,0,Chondroitin,2,3
St18_dB_c3_3d,18,unamended,B,DCM,0,Chondroitin,3,3
St18_dB_c1_10d,18,unamended,B,DCM,0,Chondroitin,1,10
18_dB_c2_10d,18,unamended,B,DCM,0,Chondroitin,2,10
St18_dB_c3_10d,18,unamended,B,DCM,0,Chondroitin,3,10
St18_dB_p1_1d,18,unamended,B,DCM,0,Pullulan,1,1
St18_dB_p1_t3,18,unamended,B,DCM,0,Pullulan,1,3
St18_dB_p3_1d,18,unamended,B,DCM,0,Pullulan,3,1
St18_dB_p3_3d,18,unamended,B,DCM,0,Pullulan,3,3
St18_dB_p1_10d,18,unamended,B,DCM,0,Pullulan,1,10
St18_dB_p3_10d,18,unamended,B,DCM,0,Pullulan,3,10
St18_dB_a1_1d,18,unamended,B,DCM,0,Arabinogalactan,1,1
St18_dB_a2_1d,18,unamended,B,DCM,0,Arabinogalactan,2,1
St18_dB_a3_1d,18,unamended,B,DCM,0,Arabinogalactan,3,1
