stn,amendment_type,depth_name,depth_no,depth_m,substrate,timepoint,time_d,time_h,replicate,FISH_probe,cells_ml,substratecells_ml,dapifish_ml,dapifishsubstrate_ml
stn18,unamend,DCM,d2,104,lam,t0,0.2,5,2,EUB1,543265.1684,65436.54224,107908.2275,56215.13249
stn18,unamend,DCM,d2,104,lam,t0,0.2,5,2,EUB3,551690.968,41757.55323,19748.86635,10611.33117
stn18,unamend,DCM,d2,104,lam,t0,0.2,5,2,GAM42a,581335.0098,56469.31238,110272.6916,11148.44794
stn18,unamend,DCM,d2,104,lam,t0,0.2,5,2,PLA46,550844.1201,42066.34858,5453.045187,1644.569183
stn18,unamend,DCM,d2,104,lam,t0,0.2,5,2,CF319a,571378.8497,51020.44577,9401.802046,3635.363458
stn18,unamend,DCM,d2,104,lam,t1,1,24,1,EUB1,352520.0929,36353.63458,78105.23308,31396.32077
stn18,unamend,DCM,d2,104,lam,t1,1,24,1,EUB3,350272.1818,35469.35698,21910.43381,18078.56422
stn18,unamend,DCM,d2,104,lam,t1,1,24,1,GAM42a,349191.3981,35862.36925,168307.5028,21419.16848
stn18,unamend,DCM,d2,104,lam,t1,1,24,1,PLA46,345093.5263,35732.96277,31742.9297,15605.46265
stn18,unamend,DCM,d2,104,lam,t1,1,24,1,CF319a,346478.1019,39336.4969,18270.03174,12117.87819
stn18,unamend,DCM,d2,104,lam,t2,3,72,1,EUB1,532707.5616,35761.83122,98154.81336,11075.17705
stn18,unamend,DCM,d2,104,lam,t2,3,72,1,EUB3,537590.4547,31476.9275,22078.18295,11881.43179
stn18,unamend,DCM,d2,104,lam,t2,3,72,1,GAM42a,542880.943,36912.92126,129195.2244,7923.228049
stn18,unamend,DCM,d2,104,lam,t2,3,72,1,PLA46,545910.4126,34233.00589,4039.292731,403.9292731
stn18,unamend,DCM,d2,104,lam,t2,3,72,1,CF319a,519597.3056,31939.26466,14368.34129,5279.932641
stn18,unamend,DCM,d2,104,lam,t3,7,168,1,EUB1,252575.1384,2809.14449,42467.65494,908.8408644
stn18,unamend,DCM,d2,104,lam,t3,7,168,1,EUB3,276391.4903,3116.025821,2804.423239,519.3376368
stn18,unamend,DCM,d2,104,lam,t3,7,168,1,GAM42a,266694.3026,4241.257367,95731.23772,1009.823183
stn18,unamend,DCM,d2,104,lam,t3,7,168,1,PLA46,218977.1871,2138.449093,855.3796371,106.9224546
stn18,unamend,DCM,d2,104,lam,t3,7,168,1,CF319a,259564.9509,2908.290766,11269.62672,363.5363458
stn18,unamend,DCM,d2,104,lam,t4,10,240,3,EUB1,653301.4136,56835.8043,142843.1837,43713.02889
stn18,unamend,DCM,d2,104,lam,t4,10,240,3,EUB3,655507.9652,63878.52933,13710.51361,4154.701095
stn18,unamend,DCM,d2,104,lam,t4,10,240,3,GAM42a,589570.4149,47687.41477,65971.15451,6949.959552
stn18,unamend,DCM,d2,104,lam,t4,10,240,3,PLA46,605232.9345,50674.76335,4957.313806,550.8126451
stn18,unamend,DCM,d2,104,lam,t4,10,240,3,CF319a,574152.8867,53357.75398,68837.36612,39754.45846
stn19,unamend,DCM,d2,33,lam,t0,0.2,5,1,EUB1,1740269.872,35498.25494,361611.7416,22132.94811
stn19,unamend,DCM,d2,33,lam,t0,0.2,5,1,EUB3,1836767.387,31809.43026,25548.52652,6058.939096
