Sample,Station,Amendment,Amendment_type,Depth,Mesocosm,Substrate,Replicate,IncubationTime
St18_LV_dA_M1_t0,18,LV,Amended,A,1,control,1,0
St18_LV_dA_M2_t0,18,LV,Amended,A,2,control,1,0
St18_LV_dA_M3_t0,18,LV,Amended,A,3,control,1,0
St18_LV_dA_M1_t1,18,LV,Amended,A,1,control,1,3
St18_LV_dA_M2_t1,18,LV,Amended,A,2,control,1,3
St18_LV_dA_M3_t1,18,LV,Amended,A,3,control,1,3
St18_LV_dA_M4_t1,18,LV,Unamended,A,4,control,1,3
St18_LV_dA_M1_t2,18,LV,Amended,A,1,control,1,5
St18_LV_dA_M2_t2,18,LV,Amended,A,2,control,1,5
St18_LV_dA_M3_t2,18,LV,Amended,A,3,control,1,5
St18_LV_dA_M4_t2,18,LV,Unamended,A,4,control,1,5
St18_LV_dA_M1_t3,18,LV,Amended,A,1,control,1,10
St18_LV_dA_M2_t3,18,LV,Amended,A,2,control,1,10
St18_LV_dA_M3_t3,18,LV,Amended,A,3,control,1,10
St18_LV_dA_M4_t3,18,LV,Unamended,A,4,control,1,10
St18_LV_dA_M2_t4,18,LV,Amended,A,2,control,1,15
St18_LV_dA_M3_t4,18,LV,Amended,A,3,control,1,15
St18_LV_dA_M4_t4,18,LV,Unamended,A,4,control,1,15
St18_LV_dB_M1_t0,18,LV,Amended,B,1,control,1,0
St18_LV_dB_M2_t0,18,LV,Amended,B,2,control,1,0
St18_LV_dB_M3_t0,18,LV,Amended,B,3,control,1,0
St18_LV_dB_M4_t0,18,LV,Unamended,B,4,control,1,0
St18_LV_dB_M1_t1,18,LV,Amended,B,1,control,1,3
St18_LV_dB_M2_t1,18,LV,Amended,B,2,control,1,3
St18_LV_dB_M3_t1,18,LV,Amended,B,3,control,1,3
St18_LV_dB_M1_t2,18,LV,Amended,B,1,control,1,5
St18_LV_dB_M3_t2,18,LV,Amended,B,3,control,1,5
St18_LV_dB_M4_t2,18,LV,Unamended,B,4,control,1,5
St18_LV_dB_M1_t3,18,LV,Amended,B,1,control,1,10
St18_LV_dB_M2_t3,18,LV,Amended,B,2,control,1,10
St18_LV_dB_M3_t3,18,LV,Amended,B,3,control,1,10
St18_LV_dB_M4_t3,18,LV,Unamended,B,4,control,1,10
St18_LV_dB_M1_t4,18,LV,Amended,B,1,control,1,15
St18_LV_dB_M2_t4,18,LV,Amended,B,2,control,1,15
