Sample,Station,Amendment,Depth,Depth_full,Mesocosm,Substrate,Replicate,IncubationTime
St18_LV_dA_M1_t0,18,LV,B,DCM,1,Amended Meso,1,0
St18_LV_dA_M2_t0,18,LV,B,DCM,2,Amended Meso,1,0
St18_LV_dA_M3_t0,18,LV,B,DCM,3,Amended Meso,1,0
St18_lV_dA_M1_t1,18,LV,B,DCM,1,Amended Meso,1,3
St18_LV_dA_M2_t1,18,LV,B,DCM,2,Amended Meso,1,3
St18_LV_dA_M3_t1,18,LV,B,DCM,3,Amended Meso,1,3
St18_LV_dA_M4_t1,18,LV,B,DCM,4,Unamended Meso,1,3
St18_LV_dA_M1_t2,18,LV,B,DCM,1,Amended Meso,1,5
St18_LV_dA_M2_t2,18,LV,B,DCM,2,Amended Meso,1,5
St18_LV_dA_M3_t2,18,LV,B,DCM,3,Amended Meso,1,5
St18_LV_dA_M4_t2,18,LV,B,DCM,4,Unamended Meso,1,5
St18_LV_dA_M1_t3,18,LV,B,DCM,1,Amended Meso,1,10
St18_LV_dA_M2_t3,18,LV,B,DCM,2,Amended Meso,1,10
St18_LV_dA_M3_t3,18,LV,B,DCM,3,Amended Meso,1,10
St18_LV_dA_M4_t3,18,LV,B,DCM,4,Unamended Meso,1,10
St18_LV_dA_M2_t4,18,LV,B,DCM,2,Amended Meso,1,15
St18_LV_dA_M3_t4,18,LV,B,DCM,3,Amended Meso,1,15
St18_LV_dA_M4_t4,18,LV,B,DCM,4,Unamended Meso,1,15
St18_LV_dB_M1_t0,18,LV,D,OMZ,1,Amended Meso,1,0
St18_LV_dB_M2_t0,18,LV,D,OMZ,2,Amended Meso,1,0
St18_LV_dB_M3_t0,18,LV,D,OMZ,3,Amended Meso,1,0
St18_LV_dB_M4_t0,18,LV,D,OMZ,4,Unamended Meso,1,0
St18_LV_dB_M1_t1,18,LV,D,OMZ,1,Amended Meso,1,3
St18_LV_dB_M2_t1,18,LV,D,OMZ,2,Amended Meso,1,3
St18_LV_dB_M3_t1,18,LV,D,OMZ,3,Amended Meso,1,3
St18_LV_dB_M1_t2,18,LV,D,OMZ,1,Amended Meso,1,5
St18_LV_dB_M3_t2,18,LV,D,OMZ,3,Amended Meso,1,5
St18_LV_dB_M4_t2,18,LV,D,OMZ,4,Unamended Meso,1,5
St18_LV_dB_M1_t3,18,LV,D,OMZ,1,Amended Meso,1,10
St18_LV_dB_M2_t3,18,LV,D,OMZ,2,Amended Meso,1,10
St18_LV_dB_M3_t3,18,LV,D,OMZ,3,Amended Meso,1,10
St18_LV_dB_M4_t3,18,LV,D,OMZ,4,Unamended Meso,1,10
St18_LV_dB_M1_t4,18,LV,D,OMZ,1,Amended Meso,1,15
St18_LV_dB_M2_t4,18,LV,D,OMZ,2,Amended Meso,1,15
St18_LV_dB_M3_t4,18,LV,D,OMZ,3,Amended Meso,1,15
St18_LV_dB_M4_t4,18,LV,D,OMZ,4,Unamended Meso,1,15
St18_LV_dC_M1_t0,18,LV,E,bottom,1,Amended Meso,1,0
St18_LV_dC_M2_t0,18,LV,E,bottom,2,Amended Meso,1,0
St18_LV_dC_M3_t0,18,LV,E,bottom,3,Amended Meso,1,0
St18_LV_dC_M2_t1,18,LV,E,bottom,2,Amended Meso,1,3
St18_LV_dC_M4_t1,18,LV,E,bottom,4,Unamended Meso,1,3
St18_LV_dC_M1_t2,18,LV,E,bottom,1,Amended Meso,1,5
St18_LV_dC_M2_t2,18,LV,E,bottom,2,Amended Meso,1,5
St18_LV_dC_M3_t2,18,LV,E,bottom,3,Amended Meso,1,5
St18_LV_dC_M4_t2,18,LV,E,bottom,4,Unamended Meso,1,5
St18_LV_dC_M1_t3,18,LV,E,bottom,1,Amended Meso,1,10
St18_LC_dC_M2_t3,18,LV,E,bottom,2,Amended Meso,1,10
St18_LV_dC_M3_t3,18,LV,E,bottom,3,Amended Meso,1,10
St18_LV_dC_M4_t3,18,LV,E,bottom,4,Unamended Meso,1,10
St18_LV_dC_M1_t4,18,LV,E,bottom,1,Amended Meso,1,15
