"sn"	"h"	"s"	"i"	"j"
"St18_LV_dA_M1_t0"	116	3.30217333605272	0.936683139205541	15.7935814797614	0.694669334817893
"St18_LV_dA_M2_t0"	270	3.33179030151141	0.93501969308341	15.3892778820454	0.595130257403375
"St18_LV_dA_M3_t0"	235	3.02318622442678	0.89010795647085	9.09983987816864	0.55373914678955
"St18_lV_dA_M1_t1"	78	2.1981038056169	0.781039997446604	4.56704415572947	0.504533098964778
"St18_LV_dA_M2_t1"	187	2.08654893748097	0.744619019900165	3.91571838908706	0.398873181634602
"St18_LV_dA_M3_t1"	165	1.77356216587716	0.644869035286968	2.81586259538946	0.347352351282022
"St18_LV_dA_M4_t1"	213	3.02939917822149	0.907356615372748	10.7940788651394	0.565050193980733
"St18_LV_dA_M1_t2"	222	2.95067045393143	0.864890281261557	7.40139206370405	0.546149667169074
"St18_LV_dA_M2_t2"	187	2.62946095470544	0.829076727221322	5.85057835450451	0.502658451065868
"St18_LV_dA_M3_t2"	198	2.64085132971577	0.819146453995995	5.5293358747738	0.499379345707687
"St18_LV_dA_M4_t2"	258	3.53946145560114	0.924251100768371	13.2015119710473	0.637400903333083
"St18_LV_dA_M1_t3"	292	3.76710177909259	0.952885317284842	21.2248059919182	0.663601401488885
"St18_LV_dA_M2_t3"	288	3.60327155292794	0.92919988968428	14.124271777836	0.636287603554218
"St18_LV_dA_M3_t3"	267	3.50456882907645	0.933319917420378	14.9969820269181	0.627244113040761
"St18_LV_dA_M4_t3"	207	3.25233843203744	0.919695864106073	12.452658743765	0.609883730630009
"St18_LV_dA_M2_t4"	321	3.86005568455082	0.94454171793427	18.0315718906473	0.668820074951645
"St18_LV_dA_M3_t4"	265	2.96398281240436	0.833075420643002	5.99072948904262	0.531205435539251
"St18_LV_dA_M4_t4"	142	3.30124497288427	0.924342550565598	13.2174690988894	0.666134014467033
"St18_LV_dB_M1_t0"	117	3.12278270996307	0.91518651262054	11.7905775472472	0.655747302118583
"St18_LV_dB_M2_t0"	277	3.23481987903116	0.917630630003982	12.1404352133365	0.575179553668232
"St18_LV_dB_M3_t0"	293	3.47195248682405	0.936626187057336	15.7793882609641	0.611240665699569
"St18_LV_dB_M4_t0"	178	2.9229164263186	0.893881144583815	9.42339602211239	0.564075360915807
"St18_LV_dB_M1_t1"	124	3.2642682908532	0.914377244073664	11.6791382055062	0.677194526175666
"St18_LV_dB_M2_t1"	174	2.94739514935554	0.883749640789446	8.60212395721535	0.571305205781431
"St18_LV_dB_M3_t1"	143	2.0566944607355	0.760292496104564	4.17175092038927	0.414418466416465
"St18_LV_dB_M1_t2"	176	2.62668566903323	0.815546584927555	5.42142307100818	0.50801543367196
